"","Plate","Day","Day_number_by_exp","Exp_day_after","Number","Day_number","Date.x","Year","Dark_condition","Time","Strain","Video_1","OBS","USE","Time_dry","Num_Adults","Num_other","Microliters_counting","Treatment","Height_base","Height","Angle_length","Length","Width","Pillar_height","Pillar_angle","Pillar_length","Pillar_width","Sociality","Procedence","Conc","Conc_T","Timehms","Time_minutes","Filming_number","count_all","count","Corrected_length","Corrected_height","Pillar_angle_absolute","Angle_length_absolute","Zero_time_minutes","First_base","Time_Span_from_first","Time_Span_from_zero","Time_Span","Tw_height_Span","Tw_length_Span","Corrected_height_Span","Corrected_length_Span","growth_length","growth_height","growth_corrected_length","growth_corrected_height","Length_nobase","Height_nobase","Tw_area","Tw_area_corrected","Num_Adults_1mu","Num_Other_1mu","Prop_A_others","Mean_height","Median_height"
"36","30",14,9,"E",2650,9,"15. Sep",2023,"Y",16:25:00,"CB","MVI_8213",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.358,0.936,-2.632,0.931,0.171,4.22,-4.118,4.248,0.136,"1Social","1Wild","14 _ 30","2.DAU _ CB",16H 25M 0S,985,1,4,4,0.219161958568738,0.221800947867299,4.118,2.632,985,0.358,0,0,0,0,0,0,0,0,0,0,0,0.573,0.578,0.159201,0.0374766949152542,8.833333335,NA,NA,1.29333333333333,1.254
"37","31",14,35,"E",2676,35,"15. Sep",2023,"Y",17:15:00,"CB","MVI_8239",NA,"Y","16:15",17.66666667,NA,2,"2.DAU",0.364,1.15,-2.929,1.151,0.219,3.779,-1.028,3.78,0.137,"1Social","1Wild","14 _ 31","2.DAU _ CB",17H 15M 0S,1035,1,3,3,0.304497354497355,0.304313310399577,1.028,2.929,985,0.364,0,50,0,0,0,0,0,0,0,0,0,0.787,0.786,0.252069,0.0666849206349206,8.833333335,NA,NA,1.57933333333333,1.589
"38","32",14,36,"E",2677,36,"15. Sep",2023,"Y",17:15:00,"N2","MVI_8240",NA,"Y","16:15",51.66666667,NA,2,"2.DAU",0.449,0.893,-1.372,0.893,0.118,2.271,0,2.237,0.086,"2Non_social","2Lab","14 _ 32","2.DAU _ N2",17H 15M 0S,1035,1,3,3,0.399195350916406,0.393218846323206,0,1.372,985,0.449,0,50,0,0,0,0,0,0,0,0,0,0.444,0.444,0.105374,0.0471050514081359,25.833333335,NA,NA,1.007,1.016
"39","33",14,37,"E",2678,37,"15. Sep",2023,"Y",17:15:00,"N2","MVI_8241",NA,"Y","16:15",51.66666667,NA,2,"2.DAU",0.358,0.866,-6.649,0.878,0.104,3.017,-6.729,3.037,0.119,"2Non_social","2Lab","14 _ 33","2.DAU _ N2",17H 15M 0S,1035,1,3,3,0.289101086598617,0.287040106065628,6.729,6.649,985,0.358,0,50,0,0,0,0,0,0,0,0,0,0.52,0.508,0.091312,0.0300665130062562,25.833333335,NA,NA,0.851,0.876
"40","35",14,10,"E",2651,10,"15. Sep",2023,"Y",16:25:00,"N2","MVI_8214",NA,"Y","16:15",51.66666667,NA,2,"2.DAU",0.401,0.973,1.888,0.974,0.161,3.305,0.585,3.322,0.137,"2Non_social","2Lab","14 _ 35","2.DAU _ N2",16H 25M 0S,985,1,4,4,0.29319686935581,0.294402420574887,0.585,1.888,985,0.401,0,0,0,0,0,0,0,0,0,0,0,0.573,0.572,0.156814,0.0472046959662854,25.833333335,NA,NA,1.07566666666667,1.028
"41","40",14,41,"E",2682,41,"15. Sep",2023,"Y",17:15:00,"N2","MVI_8245",NA,"Y","16:15",51.66666667,NA,2,"2.DAU",0.396,0.877,-1.725,0.888,0.134,2.966,-1.295,3,0.102,"2Non_social","2Lab","14 _ 40","2.DAU _ N2",17H 15M 0S,1035,1,3,3,0.296,0.295684423465947,1.295,1.725,985,0.396,0,50,0,0,0,0,0,0,0,0,0,0.492,0.481,0.118992,0.039664,25.833333335,NA,NA,1.00933333333333,0.953
"42","10",2,44,"E",85,44,"05. May",2023,"N",14:48:00,"N2","MVI_5464",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.516,2.726,2.386,2.712,0.428,6.557,0.897,6.546,0.197,"2Non_social","2Lab","2 _ 10","3.MIX _ N2",14H 48M 0S,888,1,6,6,0.414298808432631,0.415738904987037,0.897,2.386,726,0.516,0,162,0,0,0,0,0,0,0,0,0,2.196,2.21,1.160736,0.177319890009166,4.866666666,16.066666666,0.232484076416082,3.506,3.673
"43","14",2,2,"E",43,2,"05. May",2023,"N",12:06:00,"CB","MVI_5422",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.452,2.178,2.421,2.195,0.436,5.045,1.537,5.043,0.172,"1Social","1Wild","2 _ 14","3.MIX _ CB",12H 6M 0S,726,1,8,8,0.435256791592306,0.431714568880079,1.537,2.421,726,0.452,0,0,0,0,0,0,0,0,0,0,0,1.743,1.726,0.95702,0.189771961134245,1.8666666666,17,0.098939929325438,3.63766666666667,3.46
"44","15",2,29,"E",70,29,"05. May",2023,"N",13:55:00,"CB","MVI_5449",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.371,1.859,3.876,1.73,0.496,5.795,6.648,5.805,0.197,"1Social","1Wild","2 _ 15","3.MIX _ CB",13H 55M 0S,835,1,7,7,0.29801894918174,0.320793787748059,6.648,3.876,726,0.371,0,109,0,0,0,0,0,0,0,0,0,1.359,1.488,0.85808,0.147817398794143,1.8666666666,17,0.098939929325438,3.671,4.612
"45","16",2,28,"E",69,28,"05. May",2023,"N",13:55:00,"N2","MVI_5448",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.529,3.113,-6.529,2.979,0.525,3.615,-2.087,3.601,0.202,"2Non_social","2Lab","2 _ 16","3.MIX _ N2",13H 55M 0S,835,1,7,7,0.827270202721466,0.861134163208852,2.087,6.529,726,0.529,0,109,0,0,0,0,0,0,0,0,0,2.45,2.584,1.563975,0.43431685642877,4.866666666,16.066666666,0.232484076416082,3.26666666666667,3.202
